message,gpt-4o.hebrew_translation,gpt-4o.english_translation,gpt-4o-mini.hebrew_translation,gpt-4o-mini.english_translation,google-translate.hebrew_translation,google-translate.english_translation
📍الاعلام العبري هناك اختلاف كبير الان في الجيش الاسرائيلي من اجل كشف فيديو #السنوار قبل استشهاده تم تأجيل المؤتمر ثلاثة مرات,התקשורת העברית: יש חילוקי דעות גדולים כעת בצבא הישראלי כדי לחשוף סרטון של סינוואר לפני מותו נדחה הכנס שלוש פעמים.,Hebrew media: There is significant disagreement now within the Israeli army regarding the release of a video of Sinwar before his death. The conference has been postponed three times.,התקשורת העברית: יש הבדל גדול עכשיו בצבא הישראלי כדי לחשוף את צילומי הווידאו של #סנואר לפני שהושמד. הכנס המתוכנן נדחה שלוש פעמים.,Hebrew media: There is a significant difference now in the Israeli army to reveal the video footage of #Sinwar before his death. The scheduled conference has been postponed three times.,"📍תקשורת עברית: יש הבדל גדול עכשיו בצבא הישראלי כדי לחשוף את הסרטון של #Sinwar לפני מות הקדושים שלו, הכנס נדחה שלוש פעמים.",📍Hebrew media: There is a big difference now in the Israeli army in order to reveal the video of #Sinwar before his martyrdom. The conference was postponed three times.
📍#عاجل| الرئيس الفرنسي ماكرون:• نقف إلى جانب إسرائيل منذ تأسيسها وملتزمون بالدفاع عنها أمام هجمات إيران والحوثيين• مقتل السنوار يعتبر تحولا أساسيا ويجب انتهاز الفرصة لتحرير جميع الرهائن وإنهاء الحرب في غزة,דחוף | נשיא צרפת מקרון: אנו עומדים לצד ישראל מאז שהוקמה ומחויבים להגן עליה מפני התקפות איראן והחות'ים. מות סינוואר נחשב לשינוי מכריע ויש לנצל את ההזדמנות לשחרר את כל בני הערובה ולסיים את המלחמה בעזה.,"Urgent | French President Macron: We stand by Israel since its founding and are committed to defending it against Iran and Houthi attacks. The death of Sinwar is considered a critical shift, and the opportunity should be seized to free all hostages and end the war in Gaza.",דחוף| הנשיא הצרפתי מקרון: • אנחנו עומדים לצד ישראל מאז הקמתה ומחויבים להגן עליה מפני התקפות איראן והחוטים • מותו של סנואר נחשב לשינוי בסיסי ויש לנצל את ההזדמנות לשחרר את כל העורבים ולסיים את המלחמה בעזה.,Urgent | French President Macron: • We stand by Israel since its establishment and are committed to defending it against attacks from Iran and the Houthis • The killing of Sinwar is a fundamental shift and the opportunity must be seized to free all hostages and end the war in Gaza.,📍#דחוף| נשיא צרפת מקרון: אנחנו עומדים לצד ישראל מאז הקמתה ומחויבים להגן עליה מפני התקפות של איראן והחותים הרג סינוואר נחשב לנקודת מפנה מהותית ויש לנצל את ההזדמנות לשחרר את כל בני הערובה ולסיים את מלחמה בעזה.,📍#Urgent | French President Macron: We have stood by Israel since its founding and are committed to defending it against Iranian and Houthi attacks. The killing of Sinwar is a fundamental shift and the opportunity must be seized to free all hostages and end the war in Gaza
♦️القناة 12 العبرية : الوزير المتطرف سموتريتش يعلن رفضه لأي صفقة تنهي الحرب على غزة,,,,,♦️ערוץ 12 העברי: השר הקיצוני סמוטריץ&#39; מודיע על דחייתו לכל עסקה שתסיים את המלחמה בעזה.,♦️Channel 12 Hebrew: Extremist Minister Smotrich announces his rejection of any deal that ends the war on Gaza
♦️‏هذا سبيلي، إن صدقت محبتي فاحمل سلاحي.,,,,,"♦️זו הדרך שלי אם האהבה שלי אמיתית, אז תשא את הנשק שלי.","♦️This is my way, if my love is true, then carry my weapon."
📍#عاجل| مكتب نتنياهو:الرئيس الأمريكي أجرى اتصالا هاتفيا بنتنياهو مساء اليوم وهنأه باغتيال يحيى السنوار و أشاد بالجيش الإسرائيلي على عمله الممتاز,,,,,📍#דחוף| לשכת נתניהו: הנשיא האמריקני התקשר הערב לנתניהו ובירך אותו על רצח יחיא סינוואר ושיבח את הצבא הישראלי על עבודתו המצוינת.,📍#Urgent | Netanyahu&#39;s office: The US President made a phone call to Netanyahu this evening and congratulated him on the assassination of Yahya Sinwar and praised the Israeli army for its excellent work
♦️#عاجل| المستوطنين يحرقون مركبات الفلسطينيين خلال هجوم على قرية جالود جنوب نابلس,,,,,"♦️#דחוף| מתנחלים שורפים כלי רכב פלסטינים במהלך תקיפה בכפר ג&#39;אלוד, דרומית לשכם","♦️#Urgent| Settlers burn Palestinian vehicles during an attack on the village of Jalud, south of Nablus"
♦️قوات الاحتلال تعتقل شاباً خلال اقتحام بلدة بيت فوريك شرق نابلس.,,,,,♦️כוחות הכיבוש עוצרים צעיר במהלך ההסתערות על העיירה בית פוריק ממזרח לשכם.,"♦️The occupation forces arrest a young man during a raid on the town of Beit Furik, east of Nablus."
📍الجيش ادعى انه قتل هاني زعرب مع #يحيى السنوار ليخرج هاني بمنشور على موقع التواصل الاجتماعي فيسبوك ويقول انه بمصر ليتضح بعدها ان الرجل خارج غزة أصلاً وما هذأ اسرائيل من ذلك إلا لاتهام وكالة غوث للاجئين,"הצבא טען כי הרג את האני זרב עם יחיא סנוואר, אך האני פרסם פוסט בפייסבוק ואמר שהוא במצרים, שכאשר התברר שהוא מחוץ לעזה, הוא האשים את ישראל בגרימת האשמות כלפי סוכנות האו""ם לפליטים.","The army claimed it killed Hani Zarab with Yahya Al-Sinwar, but Hani posted on Facebook saying he's in Egypt. It later became clear he was outside Gaza, which Israel used to accuse the UNRWA.","הצבא טען שהוא חיסל את סלאח זערב עם יחיא סנואר כאשר סלאח מפרסם פוסט ברשתות החברתיות פייסבוק ואומר שהוא במצרים, ומתברר מאוחר יותר שהאיש בכלל מחוץ לעזה, מה שאין זה אלא כדי להאשים את סוכנות הסיוע לפליטים.","The army claimed that it killed Hani Zaarab with Yahya Sinwar, and then Hani posts on social media Facebook saying he is in Egypt, only later to clarify that the man is actually outside Gaza, and this is nothing but an attempt to accuse the refugee agency.","📍 הצבא טען שהוא הרג את חני זורוב עם #יחיא אל-סנוואר, אז חני יצא עם פוסט באתר הרשת החברתית פייסבוק ואמר שהוא נמצא במצרים אז התברר שהאיש נמצא מחוץ לעזה מקום ראשון, וישראל לא עשתה זאת מלבד להאשים את סוכנות הסעד של האו&quot;ם לפליטים.","📍The army claimed that it killed Hani Za&#39;rab with Yahya Sinwar, and then Hani posted on the social networking site Facebook and said that he was in Egypt, and it later became clear that the man was originally outside Gaza. Israel did nothing to do this except to accuse the UNRWA."
#عـاجـل - يديعوت أحرونوت:توثيق: يحيى #السنوار قبل وقت قصير من إقصائه.,חדשות ידיעות אחרונות: תיעוד: יחיא סנוואר זמן קצר לפני הנטרול שלו.,Yediot Aharonot News: Documentation: Yahya Al-Sinwar shortly before his neutralization.,מיהודה א חורנוט: תיעוד: יחיא סנואר דקות לפני שהוצא מתפקידו.,Yediot Ahronot: Documentation: Yahya Sinwar shortly before his removal.,#דחוף - ידיעות אחרונות: תיעוד: יחיא #סינואר זמן קצר לפני הרחקתו.,#Urgent - Yedioth Ahronoth: Documentation: Yahya #Sinwar shortly before his ouster.
📍لحظة استهداف الاحتلال لمبنى في منطقة الوردانية قضاء الشوف في #لبنان,רגע התקיפה של המבנה באזור הורדניה שבמחוז השוף בלבנון.,"The moment of targeting the building in the Wardania area, Shouf district in Lebanon.",רגע פגיעת הכיבוש במבנה באזור ורדאניה בכפר שוף בלבנון.,Moment of the occupation targeting a building in the Wardaniyeh area in the Shouf region of Lebanon.,"📍רגע שהכיבוש תקף בניין באזור ורדניה, רובע חוף בלבנון#","📍The moment the occupation targeted a building in the Wardaniyeh area, Chouf District, in #Lebanon"
🚨 #عاجـــــل اعلام العدو:انباء اولية عن عملية تسلل في مستوطنة عسقلان,חדשות דחופות: דיווחים ראשונים על חדירה ליישוב אשקלון.,Breaking news: Initial reports of an infiltration in the Ashkelon settlement.,הודעת האויב: דיווחים ראשוניים על ניסיון חדירה במושב אשקלון.,Enemy media: Initial reports of an infiltration operation in the settlement of Ashkelon.,🚨 #תקשורת שוברת האויב: דיווחים ראשוניים על מבצע הסתננות בהתנחלות אשקלון,🚨 #Urgent Enemy Media: Initial news of an infiltration operation in the Ashkelon settlement
📍نحن نعمل بإرادة الله وعلى عينه، يخلف القائد قادة  والجندي عشرةأبو عبيدة في خطاب سابق 🫡,"אנחנו עובדים ברצון אלוהים ובפיקוחו, את המפקד מחליפים 10 חיילים. אבו עבידה בנאום קודם.","We work by the will of God and under His sight, a leader is succeeded by ten soldiers. Previous speech by Abu Ubaida.","אנחנו פועלים ברצון אללה, על פי עינו, המנהיג מחליף מנהיגים והחייל אבו עוידה נשא דברים בתדריך קודם.","We act by the will of God, under His eye; the leader replaces leaders, and soldier Abu Obeida spoke in a prior speech.",📍אנחנו פועלים על פי רצון האל ועל פי רצונו המנהיג יורש על ידי מנהיגים והחיילת אשרה אבו עוביידה בנאום קודם 🫡.,📍We work by the will of God and under His eye. A leader is succeeded by leaders and a soldier is succeeded by ten. Abu Ubaidah in a previous speech 🫡
"📍تسقُطُ الأجسادُ لا الفِكرة"" .. والمقاومة فكرة والفكرة لا تموت","הגופות נופלות לא הרעיון."" ההתנגדות היא רעיון והרעיון לא מת.""","""Bodies fall, not the idea."" The resistance is an idea, and the idea doesn't die.",גופות נופלות לא האידיאולוגיה. ההתנגדות היא רעיון והרעיון לא מת.,"Bodies fall, not the idea. Resistance is an idea, and the idea does not die.","&quot;הגופות נופלות, לא הרעיון ההתנגדות היא רעיון, והרעיון לא מת","📍Bodies fall, not ideas. Resistance is an idea, and an idea never dies."
🔴لم تصدر حماس اي تصريح رسمي بشأن استشهاد القائد يحيى السنوار .- لذلك كل ما ينشر حتى الان عبارة عن معلومات كاذبة يقف خلفها الاحتلال الصهيوني على الرغم من نشر صور يدعي فيها انها للقائد يحيى السنوار .,חמאס לא פרסמה כל הודעה רשמית בנוגע למותו של המנהיג יחיא סנוואר. לכן כל מה שמתפרסם עד כה הוא מידע כוזב שמפיץ הכיבוש הציוני למרות פרסום תמונות הטוען שהן של המנהיג יחיא סנוואר.,"Hamas hasn't released any official statement regarding the martyrdom of leader Yahya Al-Sinwar. Therefore, everything published so far is false information propagated by the Zionist occupation, despite the publication of photos claiming to be of the leader Yahya Al-Sinwar.","חמאס לא פרסמה שום הצהרה רשמית לגבי חיסול המנהיג יחיא סנואר. לכן, כל מה שמתפרסם עד כה הוא מידע שקרי שהאויב הציוני עומד מאחוריו, למרות הפרסום של תמונות שהוא טוען שהן של המנהיג יחיא סנואר.","Hamas has not issued any official statement regarding the martyrdom of leader Yahya Sinwar. Therefore, everything published so far is false information backed by the Zionist occupation, despite shared images claiming to show leader Yahya Sinwar.","🔴חמאס לא פרסם שום הודעה רשמית בנוגע למותו של המפקד יחיא אל-סינואר - לכן, כל מה שפורסם עד כה הוא מידע כוזב שמאחוריו עומד הכיבוש הציוני, למרות פרסום תמונות הטוענות להיות של המפקד יחיא אל-סינואר.","🔴Hamas has not issued any official statement regarding the martyrdom of leader Yahya Sinwar. - Therefore, everything published so far is false information behind which the Zionist occupation stands, despite the publication of pictures claiming that they are of leader Yahya Sinwar."
📍عاجل عن الاعلام العبري:اشكلون على ما يبدو عملية تسلل لا شيء واضح حتى اللحظه..,"חדשות דחופות מהתקשורת העברית: נראה שיש חדירה באשקלון, אך אין דבר ברור כעת.","Breaking news from Hebrew media: Ashkelon seems to have been infiltrated, but nothing is clear at the moment.","מידע דחוף מהתקשורת העברית: כנראה שניסיון חדירה באשקלון, עדיין אין שום דבר ברור כרגע.","Urgent information from Hebrew media: Ashkelon is apparently experiencing an infiltration attempt, nothing is clear as of now.",📍דחוף מהתקשורת העברית: אשקלון מסתמן כמבצע הסתננות שום דבר לא ברור כרגע.,📍Urgent from the Hebrew media: Ashkelon appears to be an infiltration operation. Nothing is clear at the moment.
📍مصادر إسرائيلية: إسرائيل أبلغت الوسطاء أنها مستعدة لسماع اقتراحات جديدة بشأن صفقة التبادل مع حماس,מקורות ישראלים: ישראל הודיעה למתווכים שהיא מוכנה לשמוע הצעות חדשות בנוגע לעסקת חילופי אסירים עם חמאס.,Israeli sources: Israel informed mediators it is ready to hear new proposals regarding a prisoner exchange deal with Hamas.,מקורות ישראליים: ישראל הודיעה לוגמים שהיא מוכנה לשמוע הצעות חדשות בנוגע לעסקת חילופים עם חמאס.,Israeli sources: Israel has informed mediators that it is ready to hear new proposals regarding a prisoner exchange deal with Hamas.,📍מקורות ישראלים: ישראל הודיעה למתווכים כי היא מוכנה לשמוע הצעות חדשות בנוגע לעסקת החליפין עם חמאס,📍Israeli sources: Israel informed mediators that it is ready to hear new proposals regarding the exchange deal with Hamas
📍#عاجل| المتحدث باسم الجيش الإسرائيلي لCNN:• لم نكن نعرف أن السنوار في المبنى المستهدف لكننا علمنا بوجود قادة كبار من حماس في المنطقة• السنوار واثنان آخران أطلقوا النيران على قواتنا وقمنا بتدمير المبنى وقتلهم,"דובר צה""ל ל-CNN: לא ידענו שהסנוואר היה בבניין המותקף, אך ידענו שישנם מנהיגים בכירים של חמאס באזור. הסנוואר ועוד שניים פתחו באש על כוחותינו ואנחנו השמדנו את הבניין והרגנו אותם.","IDF spokesperson to CNN: We did not know Al-Sinwar was in the targeted building, but we knew there were senior Hamas leaders in the area. Al-Sinwar and two others opened fire on our forces, and we destroyed the building and killed them.","דובר צה""ל ל-CNN: לא ידענו שסנואר במבנה המכוון, אך ידענו שיש מנהיגים בכירים של חמאס באזור. סנואר ושניים אחרים ירו לעבר כוחותינו והשמדנו את המבנה והרגנו אותם.","Israeli army spokesperson to CNN: We did not know that Sinwar was in the targeted building, but we were aware of the presence of senior Hamas leaders in the area. Sinwar and two others fired at our forces, and we destroyed the building and killed them.","📍#דחוף| דובר צבא ישראל אמר ל-CNN: לא ידענו שסינואר נמצא בבניין הממוקד, אבל ידענו שיש בכירי חמאס באזור ושניים נוספים פתחו באש על כוחותינו, והרסנו את הבניין והרגנו אותם .","📍#Urgent | Israeli army spokesman to CNN: We did not know that Sinwar was in the targeted building, but we knew that there were senior Hamas leaders in the area. Sinwar and two others opened fire on our forces, and we destroyed the building and killed them."
🚨🚨صفارات الإنذار تدوي في شمال الجولان السوري المحتل,אזעקות נשמעות בצפון הגולן הסורי הכבוש.,Sirens are sounding in the northern occupied Syrian Golan.,,,🚨🚨 סירנות נשמעות בצפון הגולן הסורי הכבוש,🚨🚨 Sirens sound in the northern occupied Syrian Golan
🚨 سوليفان من البيت الأبيض: بايدن يتطلع للتحدث مع نتنياهو حول تأمين إطلاق سراح الرهائنسوليفان: بايدن يتوقع أن يتحدث مع نتنياهو بشأن إطلاق سراح الرهائن,סוליבאן מהבית הלבן: ביידן מצפה לשוחח עם נתניהו על הבטחת שחרור החטופים. סוליבאן: ביידן מצפה לשוחח עם נתניהו בנוגע לשחרור החטופים.,Sullivan from the White House: Biden is looking forward to speaking with Netanyahu about securing the release of the hostages. Sullivan: Biden expects to talk to Netanyahu about the release of the hostages.,,,🚨 סאליבן מהבית הלבן: ביידן מצפה לדבר עם נתניהו על הבטחת שחרור החטופים סאליבן: ביידן מצפה לשוחח עם נתניהו על שחרור החטופים,🚨 Sullivan from the White House: Biden looks forward to speaking with Netanyahu about securing the release of the hostagesSullivan: Biden expects to speak with Netanyahu about the release of the hostages
🚨 عاجل | جيك سوليفان: السنوار كان عقبة رئيسية أمام التوصل لاتفاق,ג'ייק סוליבאן: הסנוואר היה מכשול מרכזי להגיע להסכם.,Jake Sullivan: Al-Sinwar was a major obstacle to reaching an agreement.,,,🚨 דחוף | ג&#39;ייק סאליבן: סינוואר היה מכשול גדול להשגת הסכם,🚨 Urgent | Jake Sullivan: Sinwar was a major obstacle to reaching an agreement
"صور الجنود من لواء ""جولاني"" الذين أعلن الاحتلال مقتلهم خلال اشتباكات مع المقاومة في جنوب لبنانhttps://t.me/From_hebron",תמונות החיילים מחטיבת גולני שהצבא הודיע על מותם במהלך עימותים עם ההתנגדות בדרום לבנון.,Photos of the soldiers from the Golani Brigade that the army announced were killed during clashes with resistance in southern Lebanon.,,,תמונות של חיילי חטיבת גולני שעליהם הכריז הכיבוש נהרגו במהלך עימותים עם ההתנגדות בדרום לבנון https://t.me/From_hebron,Photos of soldiers from the &quot;Golani&quot; Brigade who were announced killed by the occupation during clashes with the resistance in southern Lebanon https://t.me/From_hebron
"🚨 وسائل إعلام إسرائيلية: ""القناة 12"": الحادث الخطير الذي وقع في جنوبي لبنان أدى إلى إصابة 9 جنود آخرين بجروح خطيرة","חדשות מהתקשורת הישראלית: ""ערוץ 12"": האירוע החמור בדרום לבנון הוביל לפציעות חמורות של 9 חיילים נוספים.","Israeli media: ""Channel 12"": The serious incident in southern Lebanon led to serious injuries to 9 more soldiers.",,,🚨 תקשורת ישראלית: &quot;ערוץ 12&quot;: התאונה הקשה שאירעה בדרום לבנון גרמה ל-9 חיילים נוספים נפצעו קשה.,🚨 Israeli media: &quot;Channel 12&quot;: The serious incident that occurred in southern Lebanon resulted in 9 other soldiers being seriously injured
"🚨 صحيفة ""يديعوت أحرونوت"" العبرية: عناصر النخبة في جولاني دخلوا مبنى يوم أمس بعد أن تم تعريفه على أنه آمن وبدعم ناري من الجو، وعندما اصبحوا بالداخل، فتح عدد من عناصر حزب الله النار تجاههم من مسافة قريبة جداًً.","""ידיעות אחרונות"" העברית: כוחות עילית של גולני נכנסו לבניין אתמול לאחר שהוגדר כבטוח ובסיוע אש מן האוויר, וברגע שהיו בפנים, מספר אנשי חיזבאללה פתחו עליהם באש מטווח קרוב מאוד.","The Hebrew newspaper ""Yedioth Ahronot"": Elite forces from Golani entered a building yesterday after it was declared safe and with air support, and once inside, several Hezbollah members opened fire on them from a very close range.","עיתון ""ידיעות אחרונות"" העברי: לוחמי הנבחרת מגולני נכנסו למבנה אתמול לאחר שהוגדר כבטוח ובתמיכה אווירית, וכאשר היו בפנים, פתחו מספר לוחמי חיזבאללה באש לעברם ממרחק קרוב מאוד.","Hebrew newspaper ""Yedioth Ahronoth"": Elite forces in Golani entered a building yesterday after it was designated as safe and with air support, and when they were inside, several Hezbollah fighters opened fire at them from very close range.","🚨 עיתון עברי &quot;ידיעות אחרונות&quot;: אנשי עלית בגולני נכנסו אתמול למבנה לאחר שהוגדר בטוח ועם תמיכה באש מהאוויר, וכשהיו בפנים, מספר אנשי חיזבאללה פתחו לעברם באש מטווח קצר מאוד .","🚨 Hebrew newspaper &quot;Yedioth Ahronoth&quot;: Elite elements in Golani entered a building yesterday after it was identified as safe and with air support, and when they were inside, a number of Hezbollah elements opened fire at them from a very close distance."
"🚨 مكتب الشؤون الخارجيةنائبة الرئيس الأمريكي كاملا هاريس: ""السنوار مسؤول عن مقتل آلاف الأبرياء، بما في ذلك ضحايا 7 أكتوبر والمحتجزين الذين قُتلوا في غزة. دم العديد من الأمريكيين على يديه.""","משרד לענייני חוץ: סגן נשיא ארה""ב קמלה האריס: ""הסנואר אחראי לרצח אלפי חפים מפשע, כולל קורבנות ה-7 באוקטובר והאסירים שנרצחו בעזה. דמם של אמריקאים רבים על ידיו.""","Office of Foreign Affairs: U.S. Vice President Kamala Harris: ""Sinwar is responsible for the killing of thousands of innocents, including the victims of October 7 and the detainees who were killed in Gaza. The blood of many Americans is on his hands.""","משרד לענייני החוץ, סגנית הנשיא האמריקאית קמלה האריס: ""הסנואר אחראי למותם של אלפי חפים מפשע, כולל קורבנות 7 באוקטובר והאסירים שנהרגו בעזה. דם רבים מהאמריקאים על ידיו.""","Office of Foreign Affairs, U.S. Vice President Kamala Harris: ""Senwar is responsible for the deaths of thousands of innocent people, including victims of October 7 and the hostages who were killed in Gaza. The blood of many Americans is on his hands.""","🚨 משרד החוץ של ארה&quot;ב, קמלה האריס: &quot;סינואר אחראי למותם של אלפי אנשים חפים מפשע, כולל קורבנות ה-7 באוקטובר ועצורים שנהרגו בעזה דמם של אמריקאים רבים על ידיו.","🚨Office of Foreign AffairsUS Vice President Kamala Harris: &quot;Sinwar is responsible for the deaths of thousands of innocent people, including the October 7 victims and the detainees killed in Gaza. The blood of many Americans is on his hands.&quot;"
🚨 مستوطن يبلغ عن مشاهدة 5 أشخاص مشبوهين يخرجون من حفرة بالقرب من مستوطنة ياد مردخاي في غلاف غزة..,מתנחל מדווח על צפייה ב-5 אנשים חשודים יוצאים מחור ליד היישוב יד מרדכי בעוטף עזה.,A settler reports seeing 5 suspicious individuals emerging from a hole near the settlement of Yad Mordechai in the Gaza periphery.,מתנחל מדווח על 5 אנשים חשודים שיצאו מחור ליד ההתנחלות יד מרדכי בשטח עזה.,A settler reports seeing 5 suspicious individuals emerging from a hole near the settlement of Yad Mordechai in the Gaza perimeter.,🚨 מתנחל מדווח שראה 5 אנשים חשודים יוצאים מחור ליד ההתנחלות יד מרדכי בעוטף עזה.,🚨 A settler reports seeing 5 suspicious people emerging from a hole near the Yad Mordechai settlement in the Gaza envelope.
"🚨  هاريس: ""لإسرائيل الحق في الدفاع عن نفسها، لقد تم تدمير حماس وتم القضاء على قيادتها. هذا يمنحنا لحظة وفرصة لوقف إطلاق النار في غزة، للإفراج عن المحتجزين، ولإنهاء معاناة الغزيين. حان الوقت لبدء مرحلة ما بعد ذلك.""","האריס: ""לישראל יש זכות להגן על עצמה, חמאס נהרס והנהגתו חוסלה. זה נותן לנו רגע והזדמנות להפסקת אש בעזה, לשחרור האסירים ולסיום סבל תושבי עזה. הזמן להתחיל בשלב שאחרי הגיע.""","Harris: ""Israel has the right to defend itself, Hamas has been destroyed and its leadership eliminated. This gives us a moment and an opportunity for a ceasefire in Gaza, the release of detainees, and the end of Gazan suffering. It's time to begin the next phase.""","האריס: ""לישראל יש זכות להגן על עצמה, חמאס הושמד ומנהיגותו חוסלה. זה נותן לנו רגע והזדמנות להפסקת אש בעזה, לשחרור החטופים, ולסיום הסבל של תושבי עזה. הגיע הזמן להתחיל שלב אחרי זה.""","Harris: ""Israel has the right to defend itself, Hamas has been destroyed and its leadership has been eliminated. This gives us a moment and an opportunity for a ceasefire in Gaza, to release the hostages, and to end the suffering of Gazans. It's time to start the next phase.""","🚨 האריס: &quot;לישראל יש את הזכות להגן על עצמה לחמאס חוסלה זה נותן לנו רגע והזדמנות להפסקת אש בעזה, לשחרר עצורים, ולסיים את הסבל של העזתים כדי להתחיל את השלב הבא.&quot;","🚨 Harris: &quot;Israel has the right to defend itself. Hamas has been destroyed and its leadership has been eliminated. This gives us a moment and an opportunity to cease fire in Gaza, to release the detainees, and to end the suffering of the people of Gaza. It is time to begin the next phase.&quot;"
"🚨 الرئيس الأمريكي جو بايدن عن القضاء على السنوار - ""إنه يوم جيد، إسرائيل والعالم في حالة أفضل. ولا شك أن هذا يوم ارتياح، على غرار المشاهد التي جرت في الولايات المتحدة بعد أن أمر الرئيس أوباما بعملية قتل أسامة بن لادن عام 2011"".المزيد من بايدن ""هناك الآن فرصة لليوم التالي في غزة دون حكم حماس، وللتوصل إلى تسوية سياسية تؤدي إلى مستقبل أفضل للإسرائيليين والفلسطينيين على حد سواء. وكان يحيى السنوار عقبة كأداء أمام تحقيق كل هذه الأهداف. وهذه العقبة لم تعد موجودة. ولكن لا يزال أمامنا الكثير من العمل"".","הנשיא האמריקאי ג'ו ביידן על חיסול הסנואר: ""זהו יום טוב, ישראל והעולם במצב טוב יותר. ואין ספק שזהו יום של הקלה, בדומה למראות שהתרחשו בארה""ב לאחר שהנשיא אובמה הורה על חיסול אוסאמה בן לאדן ב-2011"". עוד מביידן: ""קיימת כעת הזדמנות ליום שאחרי בעזה ללא שלטון חמאס, ולגיבוש הסדר פוליטי שיוביל לעתיד טוב יותר לישראלים ולפלסטינים כאחד. ויחיא הסנואר היה מחסום מרכזי בהשגת כל המטרות האלה. המחסום הזה כבר לא קיים. אבל עוד צפוי לנו עבודה רבה.""","U.S. President Joe Biden on the elimination of Sinwar: ""It's a good day, Israel and the world are in a better state. And without a doubt, it is a day of relief, similar to the scenes in the U.S. after President Obama ordered the killing of Osama Bin Laden in 2011."" More from Biden: ""There is now an opportunity for the day after in Gaza without Hamas' rule, and to reach a political settlement that will lead to a better future for both Israelis and Palestinians. Yahya Sinwar was a major obstacle to achieving all these goals. This obstacle no longer exists. But we still have a lot of work ahead.""","נשיא ארצות הברית גו ביידן על חיסול הסנואר - ""זה יום טוב, ישראל והעולם במצב טוב יותר. אין ספק שזהו יום של הקלה, בדומה למה שקרה בארצות הברית לאחר שהנשיא אובמה הורה על חיסול אסמאעיל בן לאדן בשנת 2011."" ביידן: ""עכשיו יש הזדמנות ליום שאחרי בעזה ללא שלטון חמאס, ולהגיע להסכם פוליטי שיביא לעתיד טוב יותר לישראלים ולפלסטינים כאחד. הסנואר היה מכשול רציני להשגת כל המטרות הללו. מכשול זה כבר לא קיים. אבל יש עדיין הרבה עבודה לפנינו.""","U.S. President Joe Biden on the elimination of Senwar - ""It's a good day, Israel and the world are better off. This is undoubtedly a day of relief, similar to scenes in the United States after President Obama ordered the killing of Osama bin Laden in 2011."" More from Biden: ""There is now an opportunity for the next day in Gaza without Hamas rule, and to reach a political settlement that would lead to a better future for both Israelis and Palestinians. Yahya Senwar was a significant obstacle to achieving all these goals. That obstacle is no longer present. But there is still much work ahead.""","🚨 נשיא ארה&quot;ב ג&#39;ו ביידן על חיסולו של סינוואר - &quot;זה יום טוב, ישראל והעולם במצב טוב יותר אין ספק שזהו יום של הקלה, בדומה לסצנות שהתרחשו בארה&quot;ב מדינות לאחר שהנשיא אובמה הורה על המבצע להרוג את אוסאמה בן לאדן ב-2011 עוד מאת ביידן &quot;יש כעת הזדמנות ליום המחרת בעזה ללא שלטון חמאס, ולהסדר מדיני שיוביל לעתיד טוב יותר לישראלים ולפלסטינים&quot;. יחיא סינוואר היה מכשול בלתי עביר להשגת כל המטרות הללו, אבל עדיין יש לנו הרבה עבודה.","🚨 US President Joe Biden on the elimination of Sinwar - &quot;It&#39;s a good day, Israel and the world are in a better place. This is certainly a day of relief, similar to the scenes that unfolded in the United States after President Obama ordered the operation to kill Osama bin Laden in 2011.&quot; More from Biden &quot;There is now an opportunity for the next day in Gaza without Hamas rule, and for a political settlement that will lead to a better future for Israelis and Palestinians alike. Yahya Sinwar was a major obstacle to achieving all of these goals. That obstacle is no longer there. But we still have a lot of work to do.&quot;"
🚨 ‏عاجل | هاريس: يجب أن تتوقف حرب غزة وينعم سكان القطاع بحرية تقرير المصير,חירום | האריס: יש להפסיק את המלחמה בעזה ותושבי הרצועה צריכים ליהנות מחופש לקבוע את גורלם.,Urgent | Harris: The war in Gaza must stop and the residents of the Strip should enjoy self-determination.,דחוף | האריס: מלחמת עזה חייבת להיפסק ותושבי הרצועה צריכים ליהנות מחופש לקבוע את גורלם.,Urgent | Harris: The war in Gaza must stop and the residents of the Gaza Strip should enjoy the freedom to determine their own fate.,🚨 דחוף | האריס: המלחמה בעזה חייבת להיפסק ותושבי הרצועה חייבים ליהנות מחופש הגדרה עצמית,🚨 Urgent | Harris: The Gaza war must stop and the people of the Strip must enjoy the freedom of self-determination
🚨 بايدن يرحب بالقضاء على السنوار ويشبهه بالقضاء على بن لادن ويقول إنه سيتحدث مع نتنياهو,ביידן מברך על חיסול הסנואר ומשווה אותו לחיסול בן לאדן ואומר שהוא ידבר עם נתניהו.,"Biden welcomes the elimination of Sinwar, comparing it to the killing of Bin Laden, and says he will speak with Netanyahu.",ביידן מברך על חיסול הסנואר ומשווה אותו לחיסול בן לאדן ואומר שהוא ידבר עם נתניהו.,"Biden welcomes the elimination of Senwar and compares it to the killing of bin Laden, stating that he will speak with Netanyahu.","🚨 ביידן מברך על חיסולו של סינוואר, משווה אותו לחיסול בן לאדן, ואומר שהוא ידבר עם נתניהו.","🚨 Biden welcomes the elimination of Sinwar, likens it to the elimination of Bin Laden, and says he will speak with Netanyahu"
